Sr. No.,Booking ID,Service Type,Service Name,Location,Customer ID,Professional ID,Transaction Amount,Transaction Status,Rating,Reviews
54,2,HouseKeeping,Floor Polishing,location,9,4,120.0,Accepted,5,very nice
55,3,HouseKeeping,Decluttering,location,9,4,120.0,Accepted,4,nice
56,4,HouseKeeping,Decluttering,location,9,4,120.0,Accepted,,
57,1,HouseKeeping,DeepCleaning,location,9,4,250.0,Accepted,5,good
58,2,HouseKeeping,Floor Polishing,location,9,4,250.0,Accepted,5,very nice
59,3,HouseKeeping,Decluttering,location,9,4,250.0,Accepted,4,nice
60,4,HouseKeeping,Decluttering,location,9,4,250.0,Accepted,,
61,1,HouseKeeping,DeepCleaning,location,9,4,250.0,Accepted,5,good
62,2,HouseKeeping,Floor Polishing,location,9,4,250.0,Accepted,5,very nice
63,3,HouseKeeping,Decluttering,location,9,4,250.0,Accepted,4,nice
64,4,HouseKeeping,Decluttering,location,9,4,250.0,Accepted,,
65,1,HouseKeeping,DeepCleaning,location,8,4,120.0,Accepted,5,good
66,2,HouseKeeping,Floor Polishing,location,8,4,120.0,Accepted,5,very nice
67,3,HouseKeeping,Decluttering,location,8,4,120.0,Accepted,4,nice
68,4,HouseKeeping,Decluttering,location,8,4,120.0,Accepted,,
69,1,HouseKeeping,DeepCleaning,location,5,4,200.0,Accepted,5,good
70,2,HouseKeeping,Floor Polishing,location,5,4,200.0,Accepted,5,very nice
71,3,HouseKeeping,Decluttering,location,5,4,200.0,Accepted,4,nice
72,4,HouseKeeping,Decluttering,location,5,4,200.0,Accepted,,
73,1,HouseKeeping,DeepCleaning,location,42,11,2000.0,Completed,5,good
74,2,HouseKeeping,Floor Polishing,location,42,11,2000.0,Completed,5,very nice
75,3,HouseKeeping,Decluttering,location,42,11,2000.0,Completed,4,nice
76,4,HouseKeeping,Decluttering,location,42,11,2000.0,Completed,,
77,1,HouseKeeping,DeepCleaning,location,42,11,3000.0,Completed,5,good
78,2,HouseKeeping,Floor Polishing,location,42,11,3000.0,Completed,5,very nice
79,3,HouseKeeping,Decluttering,location,42,11,3000.0,Completed,4,nice
80,4,HouseKeeping,Decluttering,location,42,11,3000.0,Completed,,
81,1,HouseKeeping,DeepCleaning,location,42,11,1000.0,Completed,5,good
82,2,HouseKeeping,Floor Polishing,location,42,11,1000.0,Completed,5,very nice
83,3,HouseKeeping,Decluttering,location,42,11,1000.0,Completed,4,nice
84,4,HouseKeeping,Decluttering,location,42,11,1000.0,Completed,,
85,1,HouseKeeping,DeepCleaning,location,42,11,1000.0,Accepted,5,good
86,2,HouseKeeping,Floor Polishing,location,42,11,1000.0,Accepted,5,very nice
87,3,HouseKeeping,Decluttering,location,42,11,1000.0,Accepted,4,nice
88,4,HouseKeeping,Decluttering,location,42,11,1000.0,Accepted,,
